,index,actual,worst_case,actual_reduction,worst_case_reduction,target
0,Tʀɪᴍ,5583,5583,1.0,1.0,pmdk
1,Random,39926,244557202984,7.151352319541465,43803905.245208666,pmdk
2,Linear,74755,230243,13.389754612215654,41.240014329213686,pmdk
3,Exhaustive,139660,385479525928,25.015224789539673,69045231.22478954,pmdk
4,Tʀɪᴍ,7390,7390,1.0,1.0,kvi
5,Random,93624,337484932879013100371968,12.669012178619756,4.566778523396659e+19,kvi
6,Linear,252693,421073,34.19391069012179,56.978755074424896,kvi
7,Exhaustive,452640,337484932879013100371968,61.250338294993234,4.566778523396659e+19,kvi
8,Tʀɪᴍ,12531,12531,1.0,1.0,recipe
9,Random,41067,1456698348298455560826880,3.2772324634905434,1.1624757388065243e+20,recipe
10,Linear,177993,622002,14.20421355039502,49.63706009097438,recipe
11,Exhaustive,348271,1456698348298454084431872,27.792753970154017,1.1624757388065232e+20,recipe
12,Tʀɪᴍ,1453,1453,1.0,1.0,server
13,Random,17250,6835322676884,11.87198898830007,4704282640.663455,server
14,Linear,6832,254456,4.701995870612526,175.12456985547144,server
15,Exhaustive,21395,6839617644180,14.724707501720578,4707238571.355816,server
